incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
807593648,2017-00010515,05/28/2017 05:08:00 PM,ACCIDENT,ACCIDENT,,10300 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9068,-122.305,05/29/2017 07:09:51 AM,11/24/2017 03:18:00 PM,POINT (-122.305 37.9068),17,Sunday,Traffic
807237784,2017-00010240,05/24/2017 12:19:43 PM,ACCIDENT,ACCIDENT,,11700 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9273,-122.32,05/25/2017 07:09:57 AM,11/20/2017 08:11:14 AM,POINT (-122.32 37.9273),12,Wednesday,Traffic
807237785,2017-00010259,05/24/2017 06:53:51 PM,ACCIDENT,ACCIDENT,,6000 Block EL CERRITO PLZ,,EL CERRITO,CA,,,37.9011,-122.3,05/25/2017 07:09:57 AM,11/20/2017 08:11:14 AM,POINT (-122.3 37.9011),18,Wednesday,Traffic
807319181,2017-00010290,05/25/2017 09:02:00 AM,ACCIDENT,ACCIDENT,,11700 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9272,-122.32,05/26/2017 07:09:50 AM,11/21/2017 08:47:07 AM,POINT (-122.32 37.9272),9,Thursday,Traffic
806495825,2017-00009977,05/21/2017 10:21:57 PM,HIT AND RUN,HIT AND RUN,,6700 Block STOCKTON AVE,,EL CERRITO,CA,,,37.9093,-122.302,05/22/2017 07:09:46 AM,11/17/2017 08:12:39 AM,POINT (-122.302 37.9093),22,Sunday,Traffic
807657144,2017-00010556,05/29/2017 01:54:00 AM,ACCIDENT,ACCIDENT,,1500 Block MARIPOSA ST,,RICHMOND,CA,,,37.9112,-122.316,05/30/2017 07:09:28 AM,11/25/2017 04:57:20 PM,POINT (-122.316 37.9112),1,Monday,Traffic
807657145,2017-00010568,05/29/2017 09:07:00 AM,HIT AND RUN,HIT AND RUN,,3200 Block CARLSON BLVD,,EL CERRITO,CA,,,37.9016,-122.304,05/30/2017 07:09:28 AM,11/25/2017 04:57:20 PM,POINT (-122.304 37.9016),9,Monday,Traffic
861982286,2018-00012876,07/04/2018 07:56:33 AM,HIT AND RUN,HIT AND RUN,,2600 Block ARLINGTON BLVD,,EL CERRITO,CA,,,37.9358,-122.307,07/04/2018 04:27:46 PM,07/22/2018 03:01:55 PM,POINT (-122.307 37.9358),7,Wednesday,Traffic
861998195,2018-00012899,07/04/2018 04:31:44 PM,HIT AND RUN,HIT AND RUN,,900 Block ASHBURY AVE,,EL CERRITO,CA,,,37.9127,-122.301,07/05/2018 12:12:42 AM,07/22/2018 03:01:55 PM,POINT (-122.301 37.9127),16,Wednesday,Traffic
862156304,2018-00013057,07/06/2018 02:38:37 PM,ACCIDENT,ACCIDENT,,MANILA AVE,,EL CERRITO,CA,,,37.9168,-122.309,07/06/2018 10:07:39 PM,07/22/2018 03:01:55 PM,POINT (-122.309 37.9168),14,Friday,Traffic
862225028,2018-00013137,07/07/2018 03:55:32 PM,ACCIDENT,ACCIDENT,,MOESER LN,,EL CERRITO,CA,,,37.9112,-122.309,07/07/2018 11:30:20 PM,07/22/2018 03:01:55 PM,POINT (-122.309 37.9112),15,Saturday,Traffic
277619771,2013-00020624,10/26/2013 01:26:00 AM,HS 11377 FEL - POSS CONTROLLED SUBSTANCE,HS 11377 FEL - POSS CONTROLLED SUBSTANCE,,LEXINGTON AVE & CENTRAL AVE,,EL CERRITO,CA,,,37.9027,-122.302,10/27/2013 07:10:35 AM,11/02/2017 07:11:21 AM,POINT (-122.302 37.9027),1,Saturday,Drugs
814920426,2017-00016109,08/08/2017 09:58:00 PM,ACCIDENT,ACCIDENT,,11400 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9226,-122.316,08/09/2017 07:09:41 AM,02/04/2018 08:10:52 AM,POINT (-122.316 37.9226),21,Tuesday,Traffic
863564768,2018-00013491,07/12/2018 09:58:24 AM,HIT AND RUN,HIT AND RUN,,CUTTING BLVD,,EL CERRITO,CA,,,37.9254,-122.319,07/12/2018 09:41:09 PM,07/22/2018 03:01:56 PM,POINT (-122.319 37.9254),9,Thursday,Traffic
